Timepoint,usLatencyMin,usLatencyMax,usLatencyAvg,usJitter,usDelayFactor,pktReceived,pktLost,pktReordered,pktReorderDist
2022-04-14T17:51:00.830527+0200,368100,368900,368472,199,789,136808,0,0,0
2022-04-14T17:51:01.832094+0200,368042,368721,368319,156,655,137284,0,0,0
2022-04-14T17:51:02.832491+0200,368012,368673,368392,219,675,137759,0,0,0
2022-04-14T17:51:03.833832+0200,367954,368654,368249,275,667,138235,0,0,0
2022-04-14T17:51:04.834110+0200,367930,368612,368249,199,665,138710,0,0,0
2022-04-14T17:51:05.834512+0200,367931,368995,368670,198,1069,139185,0,0,0
2022-04-14T17:51:06.836319+0200,368285,368990,368622,211,683,139661,0,0,0
2022-04-14T17:51:07.837876+0200,368250,370745,368515,282,2474,140137,0,0,0
2022-04-14T17:51:08.838078+0200,368210,368900,368606,216,703,140612,0,0,0
2022-04-14T17:51:09.838194+0200,368193,368876,368601,170,657,141087,0,0,0
2022-04-14T17:51:10.839599+0200,368157,368805,368470,200,653,141563,0,0,0
2022-04-14T17:51:11.839813+0200,368109,368791,368457,188,662,142038,0,0,0
